;preposition;Example;regular/irregular;Presente;;;;;;Pretérito Perfeito;;;;;;Pretérito Imperfeito;;;;;;Pretérito mais-que-perfeito;;;;;;Futuro do Presente;;;;;;Subjuntivo Presente;;;;;;Subjuntivo Pretérito Imperfeito;;;;;;Subjuntivo Futuro;;;;;;Infinitivo Pessoal;;;;;;Futuro do Pretérito;;;;;;Imperativo Afirmativo;;;;;Imperativo Negativo;;;;;Gerúndio;Particípio passado
caçar;;;I;caço;caças;caça;caçamos;caçais;caçam;cacei;caçaste;caçou;caçámos;caçastes;caçaram;caçava;caçavas;caçava;caçávamos;caçáveis;caçavam;caçara;caçaras;caçara;caçáramos;caçáreis;caçaram;caçarei;caçarás;caçará;caçaremos;caçareis;caçarão;cace;caces;cace;cacemos;caceis;cacem;caçasse;caçasses;caçasse;caçássemos;caçásseis;caçassem;caçar;caçares;caçar;caçarmos;caçardes;caçarem;caçar;caçares;caçar;caçarmos;caçardes;caçarem;caçaria;caçarias;caçaria;caçaríamos;caçaríeis;caçariam;caça;cace;cacemos;caçai;cacem;caces;cace;cacemos;caceis;cacem;caçando;caçado
distrair;;;R;distrao;distraes;distrae;distraimos;distrais;distraem;distrai;distraiste;distraiu;distraimos;distraistes;distrairam;distraia;distraias;distraia;distraíamos;distraíeis;distraiam;distraira;distrairas;distraira;distraíramos;distraíreis;distrairam;distrairei;distrairás;distrairá;distrairemos;distraireis;distrairão;distraa;distraas;distraa;distraamos;distraais;distraam;distraisse;distraisses;distraisse;distraíssemos;distraísseis;distraissem;distrair;distraires;distrair;distrairmos;distrairdes;distrairem;distrair;distraires;distrair;distrairmos;distrairdes;distrairem;distrairia;distrairias;distrairia;distrairíamos;distrairíeis;distrairiam;distrae;distraa;distraamos;distrai;distraam;distraas;distraa;distraamos;distraais;distraam;distraindo;distraido
ajustar;;;R;ajusto;ajustas;ajusta;ajustamos;ajustais;ajustam;ajustei;ajustaste;ajustou;ajustámos;ajustastes;ajustaram;ajustava;ajustavas;ajustava;ajustávamos;ajustáveis;ajustavam;ajustara;ajustaras;ajustara;ajustáramos;ajustáreis;ajustaram;ajustarei;ajustarás;ajustará;ajustaremos;ajustareis;ajustarão;ajuste;ajustes;ajuste;ajustemos;ajusteis;ajustem;ajustasse;ajustasses;ajustasse;ajustássemos;ajustásseis;ajustassem;ajustar;ajustares;ajustar;ajustarmos;ajustardes;ajustarem;ajustar;ajustares;ajustar;ajustarmos;ajustardes;ajustarem;ajustaria;ajustarias;ajustaria;ajustaríamos;ajustaríeis;ajustariam;ajusta;ajuste;ajustemos;ajustai;ajustem;ajustes;ajuste;ajustemos;ajusteis;ajustem;ajustando;ajustado
vibrar;;;R;vibro;vibras;vibra;vibramos;vibrais;vibram;vibrei;vibraste;vibrou;vibrámos;vibrastes;vibraram;vibrava;vibravas;vibrava;vibrávamos;vibráveis;vibravam;vibrara;vibraras;vibrara;vibráramos;vibráreis;vibraram;vibrarei;vibrarás;vibrará;vibraremos;vibrareis;vibrarão;vibre;vibres;vibre;vibremos;vibreis;vibrem;vibrasse;vibrasses;vibrasse;vibrássemos;vibrásseis;vibrassem;vibrar;vibrares;vibrar;vibrarmos;vibrardes;vibrarem;vibrar;vibrares;vibrar;vibrarmos;vibrardes;vibrarem;vibraria;vibrarias;vibraria;vibraríamos;vibraríeis;vibrariam;vibra;vibre;vibremos;vibrai;vibrem;vibres;vibre;vibremos;vibreis;vibrem;vibrando;vibrado
pisar;;;R;piso;pisas;pisa;pisamos;pisais;pisam;pisei;pisaste;pisou;pisámos;pisastes;pisaram;pisava;pisavas;pisava;pisávamos;pisáveis;pisavam;pisara;pisaras;pisara;pisáramos;pisáreis;pisaram;pisarei;pisarás;pisará;pisaremos;pisareis;pisarão;pise;pises;pise;pisemos;piseis;pisem;pisasse;pisasses;pisasse;pisássemos;pisásseis;pisassem;pisar;pisares;pisar;pisarmos;pisardes;pisarem;pisar;pisares;pisar;pisarmos;pisardes;pisarem;pisaria;pisarias;pisaria;pisaríamos;pisaríeis;pisariam;pisa;pise;pisemos;pisai;pisem;pises;pise;pisemos;piseis;pisem;pisando;pisado
coincidir;;;R;coincido;coincides;coincide;coincidimos;coincidis;coincidem;coincidi;coincidiste;coincidiu;coincidimos;coincidistes;coincidiram;coincidia;coincidias;coincidia;coincidíamos;coincidíeis;coincidiam;coincidira;coincidiras;coincidira;coincidíramos;coincidíreis;coincidiram;coincidirei;coincidirás;coincidirá;coincidiremos;coincidireis;coincidirão;coincida;coincidas;coincida;coincidamos;coincidais;coincidam;coincidisse;coincidisses;coincidisse;coincidíssemos;coincidísseis;coincidissem;coincidir;coincidires;coincidir;coincidirmos;coincidirdes;coincidirem;coincidir;coincidires;coincidir;coincidirmos;coincidirdes;coincidirem;coincidiria;coincidirias;coincidiria;coincidiríamos;coincidiríeis;coincidiriam;coincide;coincida;coincidamos;coincidi;coincidam;coincidas;coincida;coincidamos;coincidais;coincidam;coincidindo;coincidido
provir;;;I;provenho;provéns;provém;provimos;provindes;provêm;provim;provieste;proveio;proviemos;proviestes;provieram;provinha;provinhas;provinha;provínhamos;provínheis;provinham;proviera;provieras;proviera;proviéramos;proviéreis;provieram;provirei;provirás;provirá;proviremos;provireis;provirão;provenha;provenham;provenha;provenhamos;provenhais;provenham;proviesse;proviesses;proviesse;proviéssemos;proviésseis;proviessem;provier;provieres;provier;proviermos;provierdes;provierem;provir;provires;provir;provirmos;provirdes;provirem;proviria;provirias;proviria;proviríamos;proviríeis;proviriam;provém;provenha;provenhamos;provinde;provenham;provenhas;provenha;provenhamos;provenhais;provenham;provindo;provindo
soprar;;;R;sopro;sopras;sopra;sopramos;soprais;sopram;soprei;sopraste;soprou;soprámos;soprastes;sopraram;soprava;sopravas;soprava;soprávamos;sopráveis;sopravam;soprara;sopraras;soprara;sopráramos;sopráreis;sopraram;soprarei;soprarás;soprará;sopraremos;soprareis;soprarão;sopre;sopres;sopre;sopremos;sopreis;soprem;soprasse;soprasses;soprasse;soprássemos;soprásseis;soprassem;soprar;soprares;soprar;soprarmos;soprardes;soprarem;soprar;soprares;soprar;soprarmos;soprardes;soprarem;sopraria;soprarias;sopraria;sopraríamos;sopraríeis;soprariam;sopra;sopre;sopremos;soprai;soprem;sopres;sopre;sopremos;sopreis;soprem;soprando;soprado
almoçar;;;I;almoço;almoças;almoça;almoçamos;almoçais;almoçam;almocei;almoçaste;almoçou;almoçámos;almoçastes;almoçaram;almoçava;almoçavas;almoçava;almoçávamos;almoçáveis;almoçavam;almoçara;almoçaras;almoçara;almoçáramos;almoçáreis;almoçaram;almoçarei;almoçarás;almoçará;almoçaremos;almoçareis;almoçarão;almoce;almoces;almoce;almocemos;almoceis;almocem;almoçasse;almoçasses;almoçasse;almoçássemos;almoçásseis;almoçassem;almoçar;almoçares;almoçar;almoçarmos;almoçardes;almoçarem;almoçar;almoçares;almoçar;almoçarmos;almoçardes;almoçarem;almoçaria;almoçarias;almoçaria;almoçaríamos;almoçaríeis;almoçariam;almoça;almoce;almocemos;almoçai;almocem;almoces;almoce;almocemos;almoceis;almocem;almoçando;almoçado
incidir;;;R;incido;incides;incide;incidimos;incidis;incidem;incidi;incidiste;incidiu;incidimos;incidistes;incidiram;incidia;incidias;incidia;incidíamos;incidíeis;incidiam;incidira;incidiras;incidira;incidíramos;incidíreis;incidiram;incidirei;incidirás;incidirá;incidiremos;incidireis;incidirão;incida;incidas;incida;incidamos;incidais;incidam;incidisse;incidisses;incidisse;incidíssemos;incidísseis;incidissem;incidir;incidires;incidir;incidirmos;incidirdes;incidirem;incidir;incidires;incidir;incidirmos;incidirdes;incidirem;incidiria;incidirias;incidiria;incidiríamos;incidiríeis;incidiriam;incide;incida;incidamos;incidi;incidam;incidas;incida;incidamos;incidais;incidam;incidindo;incidido
culminar;;;R;culmino;culminas;culmina;culminamos;culminais;culminam;culminei;culminaste;culminou;culminámos;culminastes;culminaram;culminava;culminavas;culminava;culminávamos;culmináveis;culminavam;culminara;culminaras;culminara;culmináramos;culmináreis;culminaram;culminarei;culminarás;culminará;culminaremos;culminareis;culminarão;culmine;culmines;culmine;culminemos;culmineis;culminem;culminasse;culminasses;culminasse;culminássemos;culminásseis;culminassem;culminar;culminares;culminar;culminarmos;culminardes;culminarem;culminar;culminares;culminar;culminarmos;culminardes;culminarem;culminaria;culminarias;culminaria;culminaríamos;culminaríeis;culminariam;culmina;culmine;culminemos;culminai;culminem;culmines;culmine;culminemos;culmineis;culminem;culminando;culminado
oscilar;;;R;oscilo;oscilas;oscila;oscilamos;oscilais;oscilam;oscilei;oscilaste;oscilou;oscilámos;oscilastes;oscilaram;oscilava;oscilavas;oscilava;oscilávamos;osciláveis;oscilavam;oscilara;oscilaras;oscilara;osciláramos;osciláreis;oscilaram;oscilarei;oscilarás;oscilará;oscilaremos;oscilareis;oscilarão;oscile;osciles;oscile;oscilemos;oscileis;oscilem;oscilasse;oscilasses;oscilasse;oscilássemos;oscilásseis;oscilassem;oscilar;oscilares;oscilar;oscilarmos;oscilardes;oscilarem;oscilar;oscilares;oscilar;oscilarmos;oscilardes;oscilarem;oscilaria;oscilarias;oscilaria;oscilaríamos;oscilaríeis;oscilariam;oscila;oscile;oscilemos;oscilai;oscilem;osciles;oscile;oscilemos;oscileis;oscilem;oscilando;oscilado
fartar;;;R;farto;fartas;farta;fartamos;fartais;fartam;fartei;fartaste;fartou;fartámos;fartastes;fartaram;fartava;fartavas;fartava;fartávamos;fartáveis;fartavam;fartara;fartaras;fartara;fartáramos;fartáreis;fartaram;fartarei;fartarás;fartará;fartaremos;fartareis;fartarão;farte;fartes;farte;fartemos;farteis;fartem;fartasse;fartasses;fartasse;fartássemos;fartásseis;fartassem;fartar;fartares;fartar;fartarmos;fartardes;fartarem;fartar;fartares;fartar;fartarmos;fartardes;fartarem;fartaria;fartarias;fartaria;fartaríamos;fartaríeis;fartariam;farta;farte;fartemos;fartai;fartem;fartes;farte;fartemos;farteis;fartem;fartando;fartado
enxergar;;;R;enxergo;enxergas;enxerga;enxergamos;enxergais;enxergam;enxerguei;enxergaste;enxergou;enxerguámos;enxergastes;enxergaram;enxergava;enxergavas;enxergava;enxerguávamos;enxerguáveis;enxergavam;enxergara;enxergaras;enxergara;enxerguáramos;enxerguáreis;enxergaram;enxergarei;enxergarás;enxergará;enxergaremos;enxergareis;enxergarão;enxergue;enxergues;enxergue;enxerguemos;enxergueis;enxerguem;enxergasse;enxergasses;enxergasse;enxerguássemos;enxerguásseis;enxergassem;enxergar;enxergares;enxergar;enxergarmos;enxergardes;enxergarem;enxergar;enxergares;enxergar;enxergarmos;enxergardes;enxergarem;enxergaria;enxergarias;enxergaria;enxergaríamos;enxergaríeis;enxergariam;enxerga;enxergue;enxerguemos;enxergai;enxerguem;enxergues;enxergue;enxerguemos;enxergueis;enxerguem;enxergando;enxergado
conviver;;;R;convivo;convives;convive;convivemos;conviveis;convivem;convivi;conviveste;conviveu;convivemos;convivestes;conviveram;convivia;convivias;convivia;convivíamos;convivíeis;conviviam;convivera;conviveras;convivera;convivêramos;convivêreis;conviveram;conviverei;conviverás;conviverá;conviveremos;convivereis;conviverão;conviva;convivas;conviva;convivamos;convivais;convivam;convivesse;convivesses;convivesse;convivêssemos;convivêsseis;convivessem;conviver;conviveres;conviver;convivermos;conviverdes;conviverem;conviver;conviveres;conviver;convivermos;conviverdes;conviverem;conviveria;conviverias;conviveria;conviveríamos;conviveríeis;conviveriam;convive;conviva;convivamos;convivei;convivam;convivas;conviva;convivamos;convivais;convivam;convivendo;convivido
abater;;;R;abato;abates;abate;abatemos;abateis;abatem;abati;abateste;abateu;abatemos;abatestes;abateram;abatia;abatias;abatia;abatíamos;abatíeis;abatiam;abatera;abateras;abatera;abatêramos;abatêreis;abateram;abaterei;abaterás;abaterá;abateremos;abatereis;abaterão;abata;abatas;abata;abatamos;abatais;abatam;abatesse;abatesses;abatesse;abatêssemos;abatêsseis;abatessem;abater;abateres;abater;abatermos;abaterdes;abaterem;abater;abateres;abater;abatermos;abaterdes;abaterem;abateria;abaterias;abateria;abateríamos;abateríeis;abateriam;abate;abata;abatamos;abatei;abatam;abatas;abata;abatamos;abatais;abatam;abatendo;abatido
impressionar;;;R;impressiono;impressionas;impressiona;impressionamos;impressionais;impressionam;impressionei;impressionaste;impressionou;impressionámos;impressionastes;impressionaram;impressionava;impressionavas;impressionava;impressionávamos;impressionáveis;impressionavam;impressionara;impressionaras;impressionara;impressionáramos;impressionáreis;impressionaram;impressionarei;impressionarás;impressionará;impressionaremos;impressionareis;impressionarão;impressione;impressiones;impressione;impressionemos;impressioneis;impressionem;impressionasse;impressionasses;impressionasse;impressionássemos;impressionásseis;impressionassem;impressionar;impressionares;impressionar;impressionarmos;impressionardes;impressionarem;impressionar;impressionares;impressionar;impressionarmos;impressionardes;impressionarem;impressionaria;impressionarias;impressionaria;impressionaríamos;impressionaríeis;impressionariam;impressiona;impressione;impressionemos;impressionai;impressionem;impressiones;impressione;impressionemos;impressioneis;impressionem;impressionando;impressionado
punir;;;R;puno;punes;pune;punimos;punis;punem;puni;puniste;puniu;punimos;punistes;puniram;punia;punias;punia;puníamos;puníeis;puniam;punira;puniras;punira;puníramos;puníreis;puniram;punirei;punirás;punirá;puniremos;punireis;punirão;puna;punas;puna;punamos;punais;punam;punisse;punisses;punisse;puníssemos;punísseis;punissem;punir;punires;punir;punirmos;punirdes;punirem;punir;punires;punir;punirmos;punirdes;punirem;puniria;punirias;puniria;puniríamos;puniríeis;puniriam;pune;puna;punamos;puni;punam;punas;puna;punamos;punais;punam;punindo;punido
rebentar;;;R;rebento;rebentas;rebenta;rebentamos;rebentais;rebentam;rebentei;rebentaste;rebentou;rebentámos;rebentastes;rebentaram;rebentava;rebentavas;rebentava;rebentávamos;rebentáveis;rebentavam;rebentara;rebentaras;rebentara;rebentáramos;rebentáreis;rebentaram;rebentarei;rebentarás;rebentará;rebentaremos;rebentareis;rebentarão;rebente;rebentes;rebente;rebentemos;rebenteis;rebentem;rebentasse;rebentasses;rebentasse;rebentássemos;rebentásseis;rebentassem;rebentar;rebentares;rebentar;rebentarmos;rebentardes;rebentarem;rebentar;rebentares;rebentar;rebentarmos;rebentardes;rebentarem;rebentaria;rebentarias;rebentaria;rebentaríamos;rebentaríeis;rebentariam;rebenta;rebente;rebentemos;rebentai;rebentem;rebentes;rebente;rebentemos;rebenteis;rebentem;rebentando;rebentado
telefonar;;;R;telefono;telefonas;telefona;telefonamos;telefonais;telefonam;telefonei;telefonaste;telefonou;telefonámos;telefonastes;telefonaram;telefonava;telefonavas;telefonava;telefonávamos;telefonáveis;telefonavam;telefonara;telefonaras;telefonara;telefonáramos;telefonáreis;telefonaram;telefonarei;telefonarás;telefonará;telefonaremos;telefonareis;telefonarão;telefone;telefones;telefone;telefonemos;telefoneis;telefonem;telefonasse;telefonasses;telefonasse;telefonássemos;telefonásseis;telefonassem;telefonar;telefonares;telefonar;telefonarmos;telefonardes;telefonarem;telefonar;telefonares;telefonar;telefonarmos;telefonardes;telefonarem;telefonaria;telefonarias;telefonaria;telefonaríamos;telefonaríeis;telefonariam;telefona;telefone;telefonemos;telefonai;telefonem;telefones;telefone;telefonemos;telefoneis;telefonem;telefonando;telefonado
rondar;;;R;rondo;rondas;ronda;rondamos;rondais;rondam;rondei;rondaste;rondou;rondámos;rondastes;rondaram;rondava;rondavas;rondava;rondávamos;rondáveis;rondavam;rondara;rondaras;rondara;rondáramos;rondáreis;rondaram;rondarei;rondarás;rondará;rondaremos;rondareis;rondarão;ronde;rondes;ronde;rondemos;rondeis;rondem;rondasse;rondasses;rondasse;rondássemos;rondásseis;rondassem;rondar;rondares;rondar;rondarmos;rondardes;rondarem;rondar;rondares;rondar;rondarmos;rondardes;rondarem;rondaria;rondarias;rondaria;rondaríamos;rondaríeis;rondariam;ronda;ronde;rondemos;rondai;rondem;rondes;ronde;rondemos;rondeis;rondem;rondando;rondado
dificultar;;;R;dificulto;dificultas;dificulta;dificultamos;dificultais;dificultam;dificultei;dificultaste;dificultou;dificultámos;dificultastes;dificultaram;dificultava;dificultavas;dificultava;dificultávamos;dificultáveis;dificultavam;dificultara;dificultaras;dificultara;dificultáramos;dificultáreis;dificultaram;dificultarei;dificultarás;dificultará;dificultaremos;dificultareis;dificultarão;dificulte;dificultes;dificulte;dificultemos;dificulteis;dificultem;dificultasse;dificultasses;dificultasse;dificultássemos;dificultásseis;dificultassem;dificultar;dificultares;dificultar;dificultarmos;dificultardes;dificultarem;dificultar;dificultares;dificultar;dificultarmos;dificultardes;dificultarem;dificultaria;dificultarias;dificultaria;dificultaríamos;dificultaríeis;dificultariam;dificulta;dificulte;dificultemos;dificultai;dificultem;dificultes;dificulte;dificultemos;dificulteis;dificultem;dificultando;dificultado
figurar;;;R;figuro;figuras;figura;figuramos;figurais;figuram;figurei;figuraste;figurou;figurámos;figurastes;figuraram;figurava;figuravas;figurava;figurávamos;figuráveis;figuravam;figurara;figuraras;figurara;figuráramos;figuráreis;figuraram;figurarei;figurarás;figurará;figuraremos;figurareis;figurarão;figure;figures;figure;figuremos;figureis;figurem;figurasse;figurasses;figurasse;figurássemos;figurásseis;figurassem;figurar;figurares;figurar;figurarmos;figurardes;figurarem;figurar;figurares;figurar;figurarmos;figurardes;figurarem;figuraria;figurarias;figuraria;figuraríamos;figuraríeis;figurariam;figura;figure;figuremos;figurai;figurem;figures;figure;figuremos;figureis;figurem;figurando;figurado
ascender;;;R;ascendo;ascendes;ascende;ascendemos;ascendeis;ascendem;ascendi;ascendeste;ascendeu;ascendemos;ascendestes;ascenderam;ascendia;ascendias;ascendia;ascendíamos;ascendíeis;ascendiam;ascendera;ascenderas;ascendera;ascendêramos;ascendêreis;ascenderam;ascenderei;ascenderás;ascenderá;ascenderemos;ascendereis;ascenderão;ascenda;ascendas;ascenda;ascendamos;ascendais;ascendam;ascendesse;ascendesses;ascendesse;ascendêssemos;ascendêsseis;ascendessem;ascender;ascenderes;ascender;ascendermos;ascenderdes;ascenderem;ascender;ascenderes;ascender;ascendermos;ascenderdes;ascenderem;ascenderia;ascenderias;ascenderia;ascenderíamos;ascenderíeis;ascenderiam;ascende;ascenda;ascendamos;ascendei;ascendam;ascendas;ascenda;ascendamos;ascendais;ascendam;ascendendo;ascendido
engolir;;;I;engulo;engoles;engole;engolimos;engolis;engolem;engoli;engoliste;engoliu;engolimos;engolistes;engoliram;engolia;engolias;engolia;engolíamos;engolíeis;engoliam;engolira;engoliras;engolira;engolíramos;engolíreis;engoliram;engolirei;engolirás;engolirá;engoliremos;engolireis;engolirão;engula;engulas;engula;engulamos;engulais;engulam;engolisse;engolisses;engolisse;engolíssemos;engolísseis;engolissem;engolir;engolires;engolir;engolirmos;engolirdes;engolirem;engolir;engolires;engolir;engolirmos;engolirdes;engolirem;engoliria;engolirias;engoliria;engoliríamos;engoliríeis;engoliriam;engole;engula;engulamos;engoli;engulam;engulas;engula;engulamos;engulais;engulam;engolindo;engolido
livrar;;;R;livro;livras;livra;livramos;livrais;livram;livrei;livraste;livrou;livrámos;livrastes;livraram;livrava;livravas;livrava;livrávamos;livráveis;livravam;livrara;livraras;livrara;livráramos;livráreis;livraram;livrarei;livrarás;livrará;livraremos;livrareis;livrarão;livre;livres;livre;livremos;livreis;livrem;livrasse;livrasses;livrasse;livrássemos;livrásseis;livrassem;livrar;livrares;livrar;livrarmos;livrardes;livrarem;livrar;livrares;livrar;livrarmos;livrardes;livrarem;livraria;livrarias;livraria;livraríamos;livraríeis;livrariam;livra;livre;livremos;livrai;livrem;livres;livre;livremos;livreis;livrem;livrando;livrado
alertar;;;R;alerto;alertas;alerta;alertamos;alertais;alertam;alertei;alertaste;alertou;alertámos;alertastes;alertaram;alertava;alertavas;alertava;alertávamos;alertáveis;alertavam;alertara;alertaras;alertara;alertáramos;alertáreis;alertaram;alertarei;alertarás;alertará;alertaremos;alertareis;alertarão;alerte;alertes;alerte;alertemos;alerteis;alertem;alertasse;alertasses;alertasse;alertássemos;alertásseis;alertassem;alertar;alertares;alertar;alertarmos;alertardes;alertarem;alertar;alertares;alertar;alertarmos;alertardes;alertarem;alertaria;alertarias;alertaria;alertaríamos;alertaríeis;alertariam;alerta;alerte;alertemos;alertai;alertem;alertes;alerte;alertemos;alerteis;alertem;alertando;alertado
contrair;;;R;contrao;contraes;contrae;contraimos;contrais;contraem;contrai;contraiste;contraiu;contraimos;contraistes;contrairam;contraia;contraias;contraia;contraíamos;contraíeis;contraiam;contraira;contrairas;contraira;contraíramos;contraíreis;contrairam;contrairei;contrairás;contrairá;contrairemos;contraireis;contrairão;contraa;contraas;contraa;contraamos;contraais;contraam;contraisse;contraisses;contraisse;contraíssemos;contraísseis;contraissem;contrair;contraires;contrair;contrairmos;contrairdes;contrairem;contrair;contraires;contrair;contrairmos;contrairdes;contrairem;contrairia;contrairias;contrairia;contrairíamos;contrairíeis;contrairiam;contrae;contraa;contraamos;contrai;contraam;contraas;contraa;contraamos;contraais;contraam;contraindo;contraido
implantar;;;R;implanto;implantas;implanta;implantamos;implantais;implantam;implantei;implantaste;implantou;implantámos;implantastes;implantaram;implantava;implantavas;implantava;implantávamos;implantáveis;implantavam;implantara;implantaras;implantara;implantáramos;implantáreis;implantaram;implantarei;implantarás;implantará;implantaremos;implantareis;implantarão;implante;implantes;implante;implantemos;implanteis;implantem;implantasse;implantasses;implantasse;implantássemos;implantásseis;implantassem;implantar;implantares;implantar;implantarmos;implantardes;implantarem;implantar;implantares;implantar;implantarmos;implantardes;implantarem;implantaria;implantarias;implantaria;implantaríamos;implantaríeis;implantariam;implanta;implante;implantemos;implantai;implantem;implantes;implante;implantemos;implanteis;implantem;implantando;implantado
imitar;;;R;imito;imitas;imita;imitamos;imitais;imitam;imitei;imitaste;imitou;imitámos;imitastes;imitaram;imitava;imitavas;imitava;imitávamos;imitáveis;imitavam;imitara;imitaras;imitara;imitáramos;imitáreis;imitaram;imitarei;imitarás;imitará;imitaremos;imitareis;imitarão;imite;imites;imite;imitemos;imiteis;imitem;imitasse;imitasses;imitasse;imitássemos;imitásseis;imitassem;imitar;imitares;imitar;imitarmos;imitardes;imitarem;imitar;imitares;imitar;imitarmos;imitardes;imitarem;imitaria;imitarias;imitaria;imitaríamos;imitaríeis;imitariam;imita;imite;imitemos;imitai;imitem;imites;imite;imitemos;imiteis;imitem;imitando;imitado
expandir;;;R;expando;expandes;expande;expandimos;expandis;expandem;expandi;expandiste;expandiu;expandimos;expandistes;expandiram;expandia;expandias;expandia;expandíamos;expandíeis;expandiam;expandira;expandiras;expandira;expandíramos;expandíreis;expandiram;expandirei;expandirás;expandirá;expandiremos;expandireis;expandirão;expanda;expandas;expanda;expandamos;expandais;expandam;expandisse;expandisses;expandisse;expandíssemos;expandísseis;expandissem;expandir;expandires;expandir;expandirmos;expandirdes;expandirem;expandir;expandires;expandir;expandirmos;expandirdes;expandirem;expandiria;expandirias;expandiria;expandiríamos;expandiríeis;expandiriam;expande;expanda;expandamos;expandi;expandam;expandas;expanda;expandamos;expandais;expandam;expandindo;expandido
pender;;;R;pendo;pendes;pende;pendemos;pendeis;pendem;pendi;pendeste;pendeu;pendemos;pendestes;penderam;pendia;pendias;pendia;pendíamos;pendíeis;pendiam;pendera;penderas;pendera;pendêramos;pendêreis;penderam;penderei;penderás;penderá;penderemos;pendereis;penderão;penda;pendas;penda;pendamos;pendais;pendam;pendesse;pendesses;pendesse;pendêssemos;pendêsseis;pendessem;pender;penderes;pender;pendermos;penderdes;penderem;pender;penderes;pender;pendermos;penderdes;penderem;penderia;penderias;penderia;penderíamos;penderíeis;penderiam;pende;penda;pendamos;pendei;pendam;pendas;penda;pendamos;pendais;pendam;pendendo;pendido
mentir;;;I;minto;mentes;mente;mentimos;mentis;mentem;menti;mentiste;mentiu;mentimos;mentistes;mentiram;mentia;mentias;mentia;mentíamos;mentíeis;mentiam;mentira;mentiras;mentira;mentíramos;mentíreis;mentiram;mentirei;mentirás;mentirá;mentiremos;mentireis;mentirão;minta;mintas;minta;mintamos;mintais;mintam;mentisse;mentisses;mentisse;mentíssemos;mentísseis;mentissem;mentir;mentires;mentir;mentirmos;mentirdes;mentirem;mentir;mentires;mentir;mentirmos;mentirdes;mentirem;mentiria;mentirias;mentiria;mentiríamos;mentiríeis;mentiriam;mente;minta;mintamos;menti;mintam;mintas;minta;mintamos;mintais;mintam;mentindo;mentido
decretar;;;R;decreto;decretas;decreta;decretamos;decretais;decretam;decretei;decretaste;decretou;decretámos;decretastes;decretaram;decretava;decretavas;decretava;decretávamos;decretáveis;decretavam;decretara;decretaras;decretara;decretáramos;decretáreis;decretaram;decretarei;decretarás;decretará;decretaremos;decretareis;decretarão;decrete;decretes;decrete;decretemos;decreteis;decretem;decretasse;decretasses;decretasse;decretássemos;decretásseis;decretassem;decretar;decretares;decretar;decretarmos;decretardes;decretarem;decretar;decretares;decretar;decretarmos;decretardes;decretarem;decretaria;decretarias;decretaria;decretaríamos;decretaríeis;decretariam;decreta;decrete;decretemos;decretai;decretem;decretes;decrete;decretemos;decreteis;decretem;decretando;decretado
aliviar;;;R;alivio;alivias;alivia;aliviamos;aliviais;aliviam;aliviei;aliviaste;aliviou;aliviámos;aliviastes;aliviaram;aliviava;aliviavas;aliviava;aliviávamos;aliviáveis;aliviavam;aliviara;aliviaras;aliviara;aliviáramos;aliviáreis;aliviaram;aliviarei;aliviarás;aliviará;aliviaremos;aliviareis;aliviarão;alivie;alivies;alivie;aliviemos;alivieis;aliviem;aliviasse;aliviasses;aliviasse;aliviássemos;aliviásseis;aliviassem;aliviar;aliviares;aliviar;aliviarmos;aliviardes;aliviarem;aliviar;aliviares;aliviar;aliviarmos;aliviardes;aliviarem;aliviaria;aliviarias;aliviaria;aliviaríamos;aliviaríeis;aliviariam;alivia;alivie;aliviemos;aliviai;aliviem;alivies;alivie;aliviemos;alivieis;aliviem;aliviando;aliviado
secar;;;I;seco;secas;seca;secamos;secais;secam;sequei;secaste;secou;secámos;secastes;secaram;secava;secavas;secava;secávamos;secáveis;secavam;secara;secaras;secara;secáramos;secáreis;secaram;secarei;secarás;secará;secaremos;secareis;secarão;seque;seques;seque;sequemos;sequeis;sequem;secasse;secasses;secasse;secássemos;secásseis;secassem;secar;secares;secar;secarmos;secardes;secarem;secar;secares;secar;secarmos;secardes;secarem;secaria;secarias;secaria;secaríamos;secaríeis;secariam;seca;seque;sequemos;secai;sequem;seques;seque;sequemos;sequeis;sequem;secando;secado
filmar;;;R;filmo;filmas;filma;filmamos;filmais;filmam;filmei;filmaste;filmou;filmámos;filmastes;filmaram;filmava;filmavas;filmava;filmávamos;filmáveis;filmavam;filmara;filmaras;filmara;filmáramos;filmáreis;filmaram;filmarei;filmarás;filmará;filmaremos;filmareis;filmarão;filme;filmes;filme;filmemos;filmeis;filmem;filmasse;filmasses;filmasse;filmássemos;filmásseis;filmassem;filmar;filmares;filmar;filmarmos;filmardes;filmarem;filmar;filmares;filmar;filmarmos;filmardes;filmarem;filmaria;filmarias;filmaria;filmaríamos;filmaríeis;filmariam;filma;filme;filmemos;filmai;filmem;filmes;filme;filmemos;filmeis;filmem;filmando;filmado
